"address","neighborhood","type","sqft"
"0 ROXBURY ST","Roxbury ","Housing Site ",17020
"1 CAMBRIDGE ST","Downtown ","Open Space ",28654
"1 COMMERCIAL ST","North End ","Sliver Parcel ",683
"1 EASTERN AV","North End ","Parking ",81325
"1 EIGHTH ST","Charlestown ","Future Development Site ",158461
"1 FENNER ST","Roxbury ","Sliver Parcel ",7963
"1 M L KING JR BL","Roxbury ","Open Space ",3195
"100 RUTHVEN ST","Roxbury ","Housing Site ",5394
"101 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",2132
"103 FISHER AV","Mission Hill ","Sliver Parcel ",4186
"105 FISHER AV","Mission Hill ","Sliver Parcel ",4186
"105 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",2202
"109 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",2172
"11 CHIPMAN ST","Dorchester ","Housing Site ",2470
"110 SIXTH ST","Charlestown ","Performing Asset ",13403
"11-13 CATAWBA ST","Roxbury ","Housing Site ",5570
"113 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",2101
"1130 TREMONT ST","Roxbury ","Future Development Site ",27255
"114 SIXTEENTH ST","Charlestown ","Performing Asset ",95029
"115 CEDAR ST","Roxbury ","Community Garden ",1585
"115 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",3000
"115 MARCELLA ST","Roxbury ","Housing Site abuts DND parcels ",3000
"12 PALMER ST","Roxbury ","Parking ",57464
"1225 WASHINGTON ST","South End ","Open Space ",21601
"13 ALLEGHANY ST","Mission Hill ","Community Garden ",7103
"132 CHESTNUT HILL AV","Brighton ","Designated ",13847
"137 VERNON ST","Roxbury ","Designated ",2174
"14 CATAWBA ST","Roxbury ","Housing Site ",4950
"140 LENOX ST","South End ","Sliver Parcel ",3812
"141 VERNON ST","Roxbury ","Designated ",572
"146 CONDOR ST","East Boston ","Industrial Park ",363540
"146 CONDOR ST","East Boston ","Industrial Park ",0
"146 CONDOR ST","East Boston ","Industrial Park ",1000
"149 THIRTEENTH ST","Charlestown ","Performing Asset ",99974
"15 E LENOX ST","South End ","Future Development Site ",498
"15 HICKORY AV","Charlestown ","Sliver Parcel ",170
"150 CROSS ST","North End ","Sliver Parcel ",537
"150 THIRD AV","Charlestown ","Performing Asset ",1
"151 LENOX ST","South End ","Future Development Site ",4692
"157 HARRISHOF ST","Roxbury ","Housing Site ",4292
"16 MADISON ST","Roxbury ","Designated ",33113
"17 E LENOX ST","South End ","Future Development Site ",680
"170 MAIN ST","Charlestown ","Open Space ",4474
